#Table1
specobjid,ra,dec,plate,mjd,fiberid
570875547589044224,162.84287,2.1268417,507,52353,161
2034503675610687488,210.98397,8.1254622,1807,54175,9
2045779161917712384,229.21386,6.6848737,1817,53851,69
1521208468697016320,223.52676,38.470783,1351,52790,428
2446677869343041536,239.48613,21.176356,2173,53874,354
397592779024263168,258.39183,59.841199,353,51703,546
1433366289136510976,137.25925,34.990707,1273,52993,348
963784103394568192,210.1332,4.0826777,856,52339,50
2973658405345978368,203.80697,20.133166,2641,54230,570
2016499449110489088,193.72955,8.7816549,1791,54266,46
2038017433503033344,213.28812,9.3364555,1810,53794,504
1806020742907717632,166.77396,10.962899,1604,53078,281
462887553830250496,46.093289,0.37549985,411,51817,519
2805897119330756608,168.86315,22.427794,2492,54178,562
2514188432557762560,185.54168,27.31735,2233,53845,196
550675587744688128,158.91613,66.575113,489,51930,402
672305215440971776,173.54803,64.852035,597,52059,520
1932140511615805440,223.84395,12.121759,1716,53827,350
370579708397512704,177.30804,-1.7483322,329,52056,577
2806944952855062528,167.98541,23.960473,2493,54115,278
2815908720880412672,173.3574,24.391078,2501,54084,120
3344025329772554240,245.13046,19.665899,2970,54589,373
575490752394586112,170.60064,3.3007204,511,52636,567
577680144068536320,173.36579,3.45538,513,51989,340
1335344271942772736,128.7932,3.9836522,1186,52646,98
2075194121030494208,224.11339,31.363648,1843,53816,584
1314056079105091584,234.0015,48.619336,1167,52738,476
3121005063112255488,214.65289,19.511681,2772,54529,38
3123260436422617088,218.09519,18.728724,2774,54534,51
1799268091490756608,155.23488,10.059111,1598,53033,291
1970479924452026368,164.93846,14.695266,1750,53358,564
2837389338185066496,237.68164,11.346521,2520,54584,442
2098774513838745600,110.78277,42.109495,1864,53313,353
1124865860381468672,156.96076,7.5543508,999,52636,334
1031443651575703552,212.37142,-1.9549076,916,52378,434
735263527568173056,5.7050867,-10.665598,653,52145,185
738667890496006144,10.592888,-10.628805,656,52148,282
2022278750695090176,198.14434,9.9626345,1796,53884,591
1378205711091132416,174.06308,10.57526,1224,52765,379
2635749886573701120,148.5644,24.275081,2341,53738,66
747722644064856064,26.826689,-8.4138243,664,52174,455
672254912784001024,170.49322,65.287834,597,52059,337
1384995193832368128,184.71051,10.26505,1230,52672,503
749985713453295616,30.16316,-8.7652814,666,52149,496
2341956799709603840,117.16887,15.749137,2080,53350,309
2421955636158818304,226.35178,28.15916,2151,54523,527
2285632120053327872,168.16297,35.657843,2030,53499,201
528112509345884160,133.99585,0.96262876,469,51913,238
1907422934511675392,191.72514,13.219642,1694,53472,540
592327293636995072,199.63011,3.3302063,526,52312,378
2804686001853720576,166.81269,16.467308,2491,53855,252
3089616475728668672,211.20289,16.372929,2744,54272,535
675674673152813056,187.69314,65.10195,600,52317,490
1929795523057838080,223.70845,11.24292,1714,53521,11
1804970984868964352,166.04013,12.365975,1603,53119,558
2168587180077770752,125.10092,23.580691,1926,53317,378
2834061665958389760,237.09776,14.23552,2517,54567,624
942460179968976896,171.78197,3.9736229,837,52642,298
1902945173457889280,253.68776,27.528996,1690,53475,634
667689190196013056,234.31392,2.5138152,593,52026,111
2835118840952678400,236.22443,16.95281,2518,54243,374
2847483404700641280,243.67407,9.251627,2529,54585,300
635108739841550336,130.85876,3.6080167,564,52224,368
1350117860885686272,136.09713,40.117982,1199,52703,596
1119168192619505664,148.23812,5.1528626,994,52725,86
1107990827541489664,314.03533,0.49114332,984,52442,383
2518663719475505152,190.37354,28.870018,2237,53828,93
519060230064072704,53.659501,-7.1969515,461,51910,74
2030086387260221440,205.20903,7.8508969,1803,54152,323
870493566055507968,162.7689,62.866505,773,52376,629
717269470510344192,315.00519,-7.1934279,637,52174,259
2942146956060813312,190.35596,21.006467,2613,54481,620
895195194318678016,232.342,52.879802,795,52378,381
2642576754589329408,151.67762,27.020951,2347,53757,326
1942325844944906240,235.89144,10.375529,1725,54266,540
2944339382280153088,193.40295,20.625248,2615,54483,404
2290143690586351616,166.41591,34.426286,2034,53466,230
846682265269331968,4.3556656,14.192381,752,52251,20
2828420609975805952,179.22042,17.765032,2512,53877,582
954878064746063872,193.6517,5.6223443,848,52669,418
1808240931376228352,171.98654,11.907532,1606,53055,166
2277713443215665152,200.85519,34.51648,2023,53851,65
1908568625644595200,195.25813,13.040861,1695,53473,612
941324379994744832,170.02082,4.2231384,836,52376,262
2438707515559536640,235.98428,20.706141,2166,54232,30
1539278122581518336,177.01669,45.574521,1367,53083,629
2944298975227832320,193.16694,18.751609,2615,54483,257
2844134292232103936,241.91377,10.598803,2526,54582,404
2075171581042124800,223.39225,31.233722,1843,53816,502
2730428839569156096,127.78915,14.58026,2425,54139,442
1377147431417833472,173.24787,10.395053,1223,52781,625
1830836726956845056,186.33389,8.7474379,1626,53472,449
2550187265015965696,119.5319,11.612796,2265,53674,87
2921859037786040320,181.45595,18.053231,2595,54207,541
1186783481296873472,237.70125,40.02914,1054,52516,309
713938774744131584,309.37664,-5.5037167,634,52164,430
1628088425485723648,178.55028,46.597827,1446,53080,135
2194499097677817856,149.09672,32.60603,1949,53433,437
2524322361520449536,195.9416,26.55394,2242,54153,199
2087459993677752320,247.07134,20.063539,1854,53566,151
2980301109291149312,188.81481,22.433717,2647,54495,160
2077460494876174336,229.40541,29.085017,1845,54144,637
668804645061158912,237.37267,2.616976,594,52045,73
1799354128275630080,157.16152,11.306438,1598,53033,604
487630689563338752,116.0865,38.311089,433,51873,422
2675274856227956736,158.74346,20.820065,2376,53770,497
1345477372412979200,141.09761,6.7140767,1195,52724,98
1088757348769490944,175.90122,48.428624,967,52636,44
2918374684951078912,158.05408,15.458207,2592,54178,153
749855971081218048,31.146616,-9.5319491,666,52149,24
1130480517968324608,166.6951,6.8409375,1004,52723,280
1963675866537945088,149.71583,12.632038,1744,53055,387
2018896103155460096,195.98926,10.55375,1793,53883,573
412239928441726976,263.45339,58.94753,366,52017,584
2946559021697492992,196.146,18.796956,2617,54502,287
1929949454685726720,223.35583,12.617878,1714,53521,571
3112001987126781952,224.57829,15.182772,2764,54535,53
1533508434761115648,163.92006,42.211447,1362,53050,119
635137052265965568,130.76239,3.0385829,564,52224,471
671169150269286400,168.33594,64.181543,596,52370,483
2733782894118987776,130.15841,12.829223,2428,53801,356
667705407992522752,233.50244,2.9377497,593,52026,170
812977010744780800,338.75308,-10.204675,722,52224,281
1822848493593585664,174.14981,6.520459,1619,53084,60
2436585727190919168,233.25667,19.731089,2164,53886,503
3133498263898974208,207.69024,23.529227,2783,54524,432
2079710371081381888,232.16922,28.424958,1847,54176,630
1431145825085450240,133.76024,32.655112,1271,52974,462
1996303325292685312,197.82028,14.436937,1773,53112,301
830940286946404352,338.40007,12.5328,738,52521,95
850116314692347904,115.29459,31.200061,755,52235,225
1998587847908550656,203.10832,15.324007,1775,53847,420
2075035791356094464,223.93105,30.056201,1843,53816,8
1945615016564647936,239.65741,8.2293932,1728,53228,218
2724743813808547840,122.59211,11.792391,2420,54086,240
3327201427025061888,236.68157,2.1383229,2955,54562,608
1392874845422774272,153.60348,8.720594,1237,52762,497
3117714224776767488,206.75644,21.900331,2769,54527,354
2648183164597463040,158.30538,23.877791,2352,53770,242
574348905290950656,168.7819,2.6326719,510,52381,509
1974917553834715136,171.67925,15.765243,1754,53385,324
2729211410503460864,128.0537,10.938496,2424,54448,109
2823854063274190848,174.61111,17.556861,2508,53875,353
1773425452786935808,244.85047,26.152027,1575,53493,484
523709240104216576,63.042415,-5.1859044,465,51910,603
1928683921935984640,223.47461,9.5731226,1713,53827,63
2797924835362105344,164.7994,17.906769,2485,54176,231
679031752651466752,201.26097,65.070944,603,52056,415
2396029139845933056,213.98189,25.020742,2128,53800,415
1511000877672982528,252.10378,29.642039,1342,52793,157
2422966351334238208,226.79634,23.948165,2152,53874,108
1118059060013328384,145.88175,5.5254092,993,52710,147
814163108527368192,341.73156,-8.7161592,723,52201,500
2790083666863220736,160.22095,21.349619,2478,54097,377
2978041887471986688,184.08088,21.564188,2645,54477,133
2824950006606227456,176.2868,18.65084,2509,54180,244
2076190283967522816,226.365,29.788438,1844,54138,112
638538666834159616,139.42348,3.6702379,567,52252,558
2979187303743776768,186.22692,21.379555,2646,54479,204
895235601370998784,234.05038,52.698492,795,52378,528
2850803380127819776,247.10722,8.5499149,2532,54589,90
2839555650734811136,239.5911,12.092564,2522,54570,131
551725621332436992,164.42546,65.303994,490,51929,126
2495076170849085440,169.78636,25.751434,2216,53795,298
811898664782948352,337.78783,-8.1501615,721,52228,454
725193101039134720,327.56153,-6.8873427,644,52173,413
393107596149549056,256.39047,64.667977,349,51699,613
2934264001959323648,204.00838,17.420307,2606,54154,614
731869610017581056,0.29570067,-10.879859,650,52143,126
2021130321252083712,197.54709,7.9712261,1795,54507,509
301805798739175424,149.49356,-0.39835189,268,51633,235
522575918460332032,60.454082,-5.6823991,464,51908,576
834323754740901888,344.40922,13.679299,741,52261,116
560726774195972096,212.74052,64.552972,498,51984,104
3146928799086569472,234.13981,16.258561,2795,54563,140
1029092901470103552,209.37123,-2.7939011,914,52721,74
3248375513193932800,163.55871,10.310908,2885,54497,561
