#Table1
plate,mjd,fiberid,subclass
1920,53314,602,STARBURST
2497,54154,441,BROADLINE
419,51879,610,
502,51957,557,STARBURST BROADLINE
2636,54082,164,STARFORMING
2784,54529,535,STARBURST BROADLINE
1443,53055,358,STARBURST BROADLINE
564,52224,214,BROADLINE
394,51913,187,
552,51992,482,BROADLINE
721,52228,527,STARFORMING
1805,53875,205,BROADLINE
2613,54481,342,AGN BROADLINE
2591,54140,480,STARFORMING BROADLINE
1671,53446,108,AGN
954,52405,429,
542,51993,196,BROADLINE
2365,53739,497,STARBURST
394,51913,577,BROADLINE
2425,54139,243,STARBURST BROADLINE
1923,53319,382,STARBURST BROADLINE
2435,53828,435,BROADLINE
1711,53535,540,BROADLINE
394,51913,177,STARBURST
2594,54177,622,
2774,54534,430,BROADLINE
492,51955,596,AGN
2168,53886,484,BROADLINE
897,52605,73,STARFORMING
592,52025,486,AGN
2745,54231,295,BROADLINE
2520,54584,27,AGN BROADLINE
1666,52991,81,STARBURST
1806,53559,477,
2758,54523,460,
1579,53473,88,BROADLINE
390,51900,243,
963,52643,545,STARBURST BROADLINE
829,52296,275,BROADLINE
607,52368,625,STARBURST BROADLINE
1277,52765,332,BROADLINE
2239,53726,432,
539,52017,586,BROADLINE
1592,52990,485,AGN BROADLINE
542,51993,560,BROADLINE
613,52345,99,STARBURST BROADLINE
2305,54414,115,
469,51913,497,
2760,54506,586,
2758,54523,449,BROADLINE
492,51955,221,BROADLINE
552,51992,452,
2760,54506,592,
2520,54584,249,STARBURST BROADLINE
305,51613,594,STARBURST
2434,53826,469,STARBURST
394,51913,394,STARFORMING
2147,53491,605,BROADLINE
491,51942,476,AGN BROADLINE
1060,52636,293,STARBURST BROADLINE
394,51913,493,STARBURST
1788,54468,453,STARFORMING
973,52426,513,STARFORMING
2221,53792,223,BROADLINE
1848,54180,390,BROADLINE
526,52312,537,BROADLINE
587,52026,231,STARFORMING
2868,54451,493,STARFORMING
2884,54526,552,STARFORMING
1177,52824,319,
541,51959,255,BROADLINE
2128,53800,436,
1801,54156,166,
2763,54507,423,STARBURST BROADLINE
569,52264,247,STARFORMING
2481,54086,319,
1594,52992,447,
1819,54540,140,STARBURST BROADLINE
2669,54086,451,BROADLINE
592,52025,240,
2884,54526,467,
600,52317,460,STARFORMING
2636,54082,355,BROADLINE
952,52409,232,
2202,53566,590,
721,52228,503,BROADLINE
2162,54207,140,STARBURST BROADLINE
564,52224,322,STARBURST BROADLINE
2226,53819,436,BROADLINE
2603,54479,443,BROADLINE
519,52283,280,BROADLINE
414,51869,328,STARBURST BROADLINE
552,51992,529,STARBURST
454,51908,627,BROADLINE
1744,53055,630,BROADLINE
541,51959,498,
2758,54523,409,BROADLINE
450,51908,575,STARBURST BROADLINE
541,51959,582,STARFORMING
902,52409,134,STARBURST BROADLINE
412,52258,129,BROADLINE
1040,52722,613,STARBURST BROADLINE
988,52520,247,STARFORMING
1839,53471,552,STARBURST
2492,54178,329,
1415,52885,144,STARBURST BROADLINE
396,51816,276,BROADLINE
541,51959,127,AGN
564,52224,532,BROADLINE
2119,53792,479,STARBURST BROADLINE
1713,53827,525,
1943,53386,466,BROADLINE
541,51959,600,STARBURST
1002,52646,237,
349,51699,503,
2771,54527,419,BROADLINE
328,52282,575,STARBURST BROADLINE
1325,52762,634,
2773,54533,466,BROADLINE
1309,52762,443,STARBURST BROADLINE
2204,53877,640,BROADLINE
1666,52991,375,STARFORMING
896,52592,473,BROADLINE
1795,54507,106,BROADLINE
541,51959,21,STARFORMING BROADLINE
2582,54139,125,BROADLINE
1601,53115,118,STARBURST BROADLINE
312,51689,471,STARFORMING BROADLINE
348,51671,89,BROADLINE
394,51913,321,STARFORMING
394,51913,363,
367,51997,195,
367,51997,234,
398,51789,10,BROADLINE
1272,52989,539,
896,52592,462,BROADLINE
2647,54495,378,
1844,54138,567,STARFORMING
655,52162,290,
454,51908,411,
355,51788,414,STARBURST BROADLINE
1309,52762,134,STARFORMING
2617,54502,143,STARBURST BROADLINE
1655,53523,640,STARFORMING
2763,54507,224,STARBURST BROADLINE
349,51699,109,STARFORMING
1749,53357,591,
2222,53799,453,STARBURST BROADLINE
432,51884,414,STARBURST
721,52228,477,BROADLINE
2649,54212,215,BROADLINE
1738,53051,419,STARBURST BROADLINE
1003,52641,87,
1590,52974,394,STARFORMING
1444,53054,202,STARBURST BROADLINE
2882,54498,437,BROADLINE
1596,52998,479,STARBURST
896,52592,476,BROADLINE
2205,53793,624,BROADLINE
499,51988,298,
2121,54180,446,STARFORMING
2343,53735,529,STARBURST
1012,52649,74,BROADLINE
2758,54523,485,BROADLINE
268,51633,310,STARFORMING
2425,54139,225,AGN BROADLINE
2784,54529,10,STARBURST BROADLINE
1727,53859,568,BROADLINE
1006,52708,552,
1920,53314,351,
2214,53794,207,STARFORMING
438,51884,384,BROADLINE
2204,53877,431,
520,52288,425,
762,52232,498,STARBURST BROADLINE
340,51990,485,AGN BROADLINE
1223,52781,471,STARBURST BROADLINE
1936,53330,20,STARBURST
542,51993,15,BROADLINE
2933,54617,411,STARFORMING
304,51609,408,
2101,53858,294,
2151,54523,395,
494,51915,124,BROADLINE
1610,53144,469,AGN BROADLINE
1397,53119,190,BROADLINE
2773,54533,640,BROADLINE
570,52266,586,STARBURST
618,52049,204,
2297,53738,129,
542,51993,45,BROADLINE
394,51913,586,
2603,54479,90,
394,51913,607,STARFORMING
1776,53858,612,BROADLINE
2102,54115,485,BROADLINE
1795,54507,457,STARBURST BROADLINE
390,51900,439,AGN BROADLINE
1225,52760,9,STARBURST BROADLINE
390,51900,114,BROADLINE
618,52049,579,
541,51959,509,
394,51913,238,STARBURST
2593,54175,514,BROADLINE
450,51908,377,STARBURST
1582,52939,612,STARBURST BROADLINE
394,51913,328,STARFORMING
491,51942,473,
542,51993,213,
394,51913,462,BROADLINE
2123,53793,443,BROADLINE
555,52266,338,BROADLINE
2239,53726,386,
624,52377,31,STARBURST
1803,54152,511,
587,52026,517,
1314,53050,526,BROADLINE
2341,53738,456,
860,52319,94,
2483,53852,43,AGN
495,51988,207,BROADLINE
491,51942,494,
1427,52996,380,STARFORMING
497,51989,466,BROADLINE
490,51929,519,STARBURST
1813,53903,613,STARFORMING
1186,52646,261,
2955,54562,560,AGN BROADLINE
1440,53084,204,STARBURST BROADLINE
349,51699,65,
285,51930,280,BROADLINE
666,52149,318,BROADLINE
2222,53799,194,STARBURST BROADLINE
1584,52943,124,AGN BROADLINE
2884,54526,440,BROADLINE
565,52225,383,BROADLINE
1951,53389,614,STARBURST BROADLINE
2275,53709,37,STARFORMING BROADLINE
2884,54526,66,BROADLINE
2770,54510,433,STARBURST BROADLINE
2147,53491,162,BROADLINE
650,52143,279,STARBURST BROADLINE
2636,54082,596,
464,51908,460,
278,51900,527,STARBURST BROADLINE
394,51913,251,BROADLINE
1058,52520,379,STARBURST BROADLINE
491,51942,218,
394,51913,492,
511,52636,315,BROADLINE
2142,54208,637,STARBURST BROADLINE
2755,54507,376,BROADLINE
1419,53144,552,STARBURST BROADLINE
721,52228,11,STARFORMING
1721,53857,100,
2656,54484,292,
476,52314,523,STARBURST BROADLINE
969,52442,88,
2758,54523,597,
2749,54241,404,
1521,52945,462,
721,52228,350,
974,52427,4,STARBURST BROADLINE
608,52081,139,STARBURST
2229,53823,484,BROADLINE
740,52263,549,STARBURST BROADLINE
552,51992,485,
2603,54479,75,STARFORMING
542,51993,278,
2504,54179,639,STARBURST BROADLINE
1986,53475,490,BROADLINE
1059,52618,628,STARBURST BROADLINE
724,52254,508,STARFORMING
1575,53493,495,BROADLINE
2218,53816,458,BROADLINE
1749,53357,352,BROADLINE
551,51993,492,STARBURST BROADLINE
1381,53089,447,BROADLINE
907,52373,578,
1726,53137,566,BROADLINE
1725,54266,514,AGN
421,51821,307,BROADLINE
2481,54086,476,BROADLINE
1386,53116,639,AGN BROADLINE
2760,54506,162,
2756,54508,198,STARFORMING
2603,54479,259,STARBURST BROADLINE
896,52592,34,AGN BROADLINE
2246,53767,66,AGN BROADLINE
367,51997,598,
2516,54241,100,STARBURST
394,51913,588,AGN
552,51992,600,AGN
394,51913,423,
564,52224,507,
789,52342,507,AGN BROADLINE
1949,53433,457,
2341,53738,527,
1833,54561,567,
930,52618,362,STARFORMING
394,51913,422,
2758,54523,415,
2341,53738,575,
491,51942,591,BROADLINE
1610,53144,249,BROADLINE
517,52024,360,STARBURST BROADLINE
1365,53062,378,BROADLINE
498,51984,318,STARBURST BROADLINE
1625,53140,134,STARBURST BROADLINE
2808,54524,380,AGN BROADLINE
2006,53476,618,STARBURST BROADLINE
592,52025,376,BROADLINE
585,52027,368,STARBURST BROADLINE
2533,54585,612,AGN BROADLINE
2783,54524,521,STARFORMING
564,52224,223,STARBURST
349,51699,402,STARFORMING
473,51929,551,STARFORMING
775,52295,276,STARFORMING
973,52426,114,STARBURST BROADLINE
2158,54209,114,STARBURST BROADLINE
367,51997,235,STARFORMING
349,51699,58,STARFORMING
450,51908,251,BROADLINE
666,52149,357,BROADLINE
2233,53845,594,BROADLINE
1362,53050,448,
1218,52709,54,STARBURST BROADLINE
1814,54555,573,STARBURST BROADLINE
724,52254,482,
944,52614,401,BROADLINE
552,51992,365,
1314,53050,408,
827,52312,23,BROADLINE
432,51884,246,STARBURST BROADLINE
541,51959,542,
328,52282,170,STARBURST
606,52365,536,BROADLINE
2781,54266,369,STARBURST BROADLINE
2089,53498,364,STARBURST BROADLINE
1713,53827,589,STARFORMING
541,51959,249,
2033,53476,512,AGN BROADLINE
2883,54525,524,STARBURST BROADLINE
394,51913,626,STARBURST
560,52296,520,AGN BROADLINE
999,52636,151,STARFORMING
2202,53566,592,STARBURST BROADLINE
491,51942,499,BROADLINE
2151,54523,436,STARFORMING
572,52289,442,BROADLINE
2783,54524,561,
2102,54115,521,
394,51913,453,
451,51908,133,BROADLINE
