plate,mjd,fiberid,redshift,ra,dec,oiii_5007_flux,nii_6584_flux,sii_6717_flux,sii_6731_flux,oi_6300_flux,h_alpha_flux,h_beta_flux,h_alpha_eqw
273,51957,80,0.05840081,158.97334,-0.056495326,16.69417,13.69125,22.06787,15.68369,3.748192,70.74951,21.83528,-14.40282
280,51612,15,0.0947919,171.35128,-0.9608915,42.82213,80.96894,60.46414,44.02617,4.397604,281.6947,75.78433,-41.02536
287,52023,526,0.06935719,183.35021,1.1735059,25.55734,87.21746,54.14585,39.40987,7.33714,261.6216,63.72902,-30.74756
294,51986,100,0.1378868,196.98609,-0.99791165,20.347,93.9842,39.60848,35.30093,3.212363,253.3484,56.19416,-34.91973
304,51609,98,0.05408675,215.54901,-0.13128309,39.67903,198.2633,101.7143,68.72594,12.69829,524.2932,122.8184,-30.08218
311,51665,402,0.03726973,227.37021,1.0034177,243.4454,34.96292,54.6696,37.40828,9.876165,328.8039,108.508,-50.83056
331,52368,254,0.06403457,179.73032,-3.582669,28.01749,95.98521,51.00529,40.10766,7.255292,243.0903,58.97429,-20.21474
339,51692,406,0.0953201,196.3298,-1.5361615,17.93121,42.66681,18.51898,12.7447,8.757833,28.06836,4.507135,-1.32447
350,51691,565,0.1370679,260.38061,66.089183,13.98866,90.20137,18.48816,22.80851,2.818182,223.1483,45.4656,-15.8727
367,51997,329,0.1257317,258.99729,56.661704,26.67162,186.4741,63.39495,47.30184,10.99707,524.4837,108.7524,-26.80735
380,51792,432,0.04346469,344.66506,0.31594783,13.04046,7.303005,7.180682,8.302226,1.422226,30.09217,11.5737,-9.743073
392,51793,20,0.08140541,9.9814386,-0.80002343,120.9286,194.292,114.7849,80.13808,16.33469,661.218,166.5935,-73.84008
399,51817,447,0.2086457,21.442508,1.2726351,3.823004,13.27009,6.062365,9.117672,9.140922,12.06628,8.081646,-2.707387
406,51876,395,0.193913,35.256358,0.47013046,73.59282,137.0484,70.55151,48.15312,15.986,413.468,111.7643,-63.9273
413,51821,219,0.1170558,49.269696,-0.9903768,5.754693,18.55943,11.21184,5.458943,1.597479,23.69977,7.476203,-2.216869
421,51821,264,0.117167,14.696038,14.189442,11.48242,69.63947,32.7281,24.60748,4.958778,146.9565,29.61592,-13.36736
429,51820,337,0.09704552,25.642194,14.830644,4.738802,49.69905,25.27163,16.42259,6.394814,125.9345,23.58712,-13.93194
436,51883,329,0.05081495,118.78079,45.726543,28.58167,73.79533,23.58124,10.52828,10.529,44.48783,17.89826,-1.404903
443,51873,356,0.1260601,125.71305,49.531457,23.49762,214.2624,84.29074,62.79994,11.81414,454.9689,90.96756,-22.32896
448,51900,538,0.03894882,133.75629,56.937869,33.52584,22.53544,29.4283,20.74472,3.456016,101.5893,31.20141,-14.33394
455,51909,388,0.03097362,38.294963,-7.8037217,707.2045,104.878,17.45388,24.18273,12.83329,433.2871,97.71133,-9.753325
464,51908,333,0.1214775,58.450444,-5.4549527,18.27354,94.89888,34.00674,25.82469,9.433928,156.6933,29.59744,-10.10845
474,52000,304,0.1562999,140.18391,-0.53656215,15.29474,35.82319,12.96885,10.93225,1.257398,40.5166,6.809237,-3.562124
485,51909,13,0.1046491,143.89999,59.286263,4.656975,38.93601,27.88724,11.60929,6.364834,107.2118,26.67356,-22.68296
492,51955,330,0.1032205,173.61284,67.977905,5.870113,58.451,18.19194,9.781605,2.928845,92.7289,16.15801,-5.209494
501,52235,298,0.05644372,149.70939,1.1675287,102.3859,305.3942,120.3087,86.37979,23.87248,642.3815,159.6844,-19.72923
508,52366,62,0.1076945,166.39846,1.783042,7.225082,108.2563,32.01096,19.29321,11.06752,269.7137,53.38388,-17.05717
513,51989,212,0.03988047,173.66328,1.4949665,101.0216,228.7867,106.8211,93.04115,20.64952,603.744,131.857,-35.40569
520,52288,165,0.08133487,188.27168,1.9420342,11.2352,31.24007,13.3921,8.823444,1.153191,38.55358,8.964481,-3.325944
527,52342,64,0.1402151,202.85564,1.6925241,10.8386,58.63552,26.57172,19.42578,3.314611,162.0975,42.31011,-15.1251
538,52029,571,0.09649298,224.2928,2.65646,12.42894,14.22798,2.858363,2.469582,3.155263,21.69862,6.278088,-2.589139
545,52202,445,0.04348661,121.58126,41.206071,11.48201,8.842072,16.50629,12.90572,2.851966,63.91984,13.50988,-14.75737
554,52000,206,0.03651687,139.80984,53.228584,21.75722,184.6549,84.44381,66.98594,18.65493,408.675,80.89745,-17.59443
568,52254,236,0.05692837,140.90763,3.4467341,112.9046,26.54938,39.99078,30.40443,8.425825,212.5599,73.75474,-38.91232
575,52319,605,0.1005563,156.69093,5.0337734,33.88404,221.7269,94.1529,61.5029,11.68652,558.2796,130.6339,-47.20486
582,52045,533,0.07965787,211.99064,5.219069,19.91459,93.51787,26.82947,20.9993,4.229332,124.8969,17.97298,-5.570263
587,52026,481,0.122284,221.2881,4.3655751,13.85296,114.3702,37.87116,26.30797,7.125007,323.4543,76.4761,-31.62762
594,52045,518,0.065758,236.05805,3.7640793,27.33092,41.42767,40.25486,24.46521,8.843327,162.6283,50.90074,-27.03106
604,52079,96,0.1374046,206.65103,62.356511,14.8591,80.25128,27.59108,21.04031,2.903419,144.1021,34.56746,-7.32584
614,53437,216,0.04591215,231.9073,54.711321,7.788701,34.30541,18.66145,11.56573,3.933799,102.0424,20.3113,-6.974942
624,52377,379,0.09763599,243.96429,47.053887,14.17957,23.86928,11.72898,6.677432,4.823275,19.34474,3.676532,-1.141905
631,52079,259,0.131252,252.83067,40.841183,71.00775,295.481,130.3419,87.65227,21.60643,795.2508,193.7099,-57.29071
640,52200,618,0.08914382,322.52187,-6.6862106,104.3235,113.1501,83.39552,64.14909,16.34239,457.1495,110.9548,-41.96372
653,52145,303,0.1214809,4.6757775,-10.270538,17.90962,105.0066,43.01864,30.57433,8.0596,167.7802,38.58064,-9.574245
659,52199,629,0.1108442,18.493989,-9.5649903,15.39423,109.8811,33.89566,27.08897,4.790769,265.6207,62.74899,-12.55015
669,52559,91,0.2257909,1.8122764,-0.59864643,5.075565,14.12012,5.203017,6.101547,3.187321,32.02425,5.087418,-6.126431
687,52518,122,0.2021968,4.0334693,-0.81093573,21.61419,53.92351,40.91738,31.85115,9.476215,183.7675,43.74269,-47.47503
703,52209,137,0.100161,34.134946,-0.75828832,12.66984,79.89865,30.17649,19.54484,8.640738,195.9945,37.7934,-13.33075
717,52468,410,0.1326182,330.71748,-7.4942465,4.923269,19.65131,12.68579,7.494463,3.666313,52.20081,13.21758,-7.426268
726,52226,414,0.1223521,347.85377,-8.4120485,6.501553,37.2624,14.60809,13.07117,3.257956,73.03961,13.68252,-8.078894
736,52221,534,0.1277901,334.18311,14.061536,17.38645,58.66647,41.40278,27.33383,6.758295,193.2209,46.976,-27.4241
744,52251,62,0.1482124,349.16728,13.931788,12.98402,82.1864,8.215939,28.94041,9.020826,168.0737,34.62391,-11.79364
750,52235,412,0.07582571,359.80505,15.645003,9.327167,32.42094,25.8651,184.3083,3.150446,108.4784,26.23566,-22.07821
758,52253,8,0.06919627,122.60691,37.731587,10.71852,24.30575,6.637785,5.715103,6.383325,46.07425,9.352311,-4.062698
765,52254,434,0.1211846,135.56102,49.131712,9.919537,86.3567,31.63281,24.44876,8.34054,210.2599,44.90697,-28.16542
775,52295,481,0.06673592,170.03598,62.322635,20.50893,156.6824,55.54076,41.15895,16.60499,412.6417,77.34446,-17.21684
782,52320,539,0.009215283,193.97501,63.612436,43.15373,181.914,72.54207,48.75471,22.01616,290.5088,40.54089,-9.3987
790,52441,329,0.1379119,217.35316,59.119741,4.807509,15.8935,6.566245,8.245467,1.509064,34.91708,3.880342,-3.826348
803,52318,103,0.08356434,47.73038,-0.89993176,90.54857,15.20318,25.58056,16.45787,7.407384,144.12,48.01509,-54.55588
808,52556,159,-2.985652E-05,46.383495,-0.4929,1.599571,1.105168,3.205653,2.064271,7.977173,8.617875,2.388319,-13.31896
817,52381,630,0.0323788,249.4442,40.788332,60.37924,30.71954,33.06206,19.39796,3.427596,150.3266,48.35689,-35.32662
830,52293,63,0.1335614,134.77383,41.136489,104.5029,64.84607,31.45568,25.53472,11.40861,66.88275,19.019,-5.711228
838,52378,498,0.08914343,175.16939,5.6873284,5.141915,22.0575,11.67139,4.857898,7.08004,72.90019,14.84948,-9.891629
846,52407,380,0.0401743,189.48111,5.978268,88.61601,93.02641,74.36092,53.14919,11.78496,350.2371,103.4018,-33.87681
855,52375,233,0.07744487,207.4363,4.5100724,26.28685,88.00217,55.49637,36.64541,8.336412,288.378,81.03616,-37.30767
864,52320,197,0.05718148,129.39968,36.647221,16.40076,39.19102,17.45006,12.26563,7.105782,85.90852,24.34836,-7.93913
879,52365,131,0.03208414,172.14977,50.98979,27.91245,119.4624,47.77362,33.10578,9.020396,290.3654,62.75327,-8.684311
885,52379,527,0.1204175,190.04977,53.395684,6.96409,35.88145,11.35165,11.13081,4.813822,108.8278,23.61604,-15.17746
893,52589,515,0.1242509,125.25997,38.292098,27.50869,89.56603,30.2844,21.07157,8.415436,204.4612,44.69935,-20.85032
901,52641,316,0.0807078,142.20975,49.817049,20.24612,135.1021,61.62196,42.93661,7.050544,284.4565,62.32305,-8.819112
908,52373,426,0.1328986,165.40434,56.700835,4.510108,14.76883,1.395886,4.13613,2.49766,12.20269,5.295265,-0.687169
918,52404,380,0.1332247,216.29435,-1.077008,17.1781,59.00292,28.63569,28.82305,6.593724,159.2768,34.66258,-21.59883
929,52581,93,0.06898268,120.19318,26.520653,17.05877,69.9519,44.77538,26.34531,6.422809,226.4188,47.57668,-25.20407
937,52707,267,0.05635353,136.76238,38.501577,11.53611,23.73591,18.31101,14.81853,3.701924,68.13797,11.80168,-12.39378
944,52614,406,0.02997079,154.48081,46.60325,125.0138,622.4449,248.5316,190.9433,27.81236,1633.185,297.3075,-56.29996
952,52409,430,0.1689614,171.30767,59.97668,12.2377,21.45981,6.337095,5.70324,4.889565,48.84877,15.61607,-5.002496
960,52425,6,0.1646169,205.55337,57.449656,17.24951,117.7094,21.05452,32.19691,7.027947,313.0636,63.72683,-31.13664
966,52642,630,0.0533012,174.08453,49.650194,57.84748,214.103,100.3448,75.3046,13.96624,637.3806,145.2713,-53.39833
974,52427,249,0.09170183,255.83871,33.484026,6.283419,25.16487,15.42198,5.631581,3.609535,39.31134,8.094544,-3.940442
984,52442,385,0.08647857,314.17187,0.52207062,224.6213,131.0442,105.7672,73.41679,18.06705,629.3136,171.7263,-72.87441
992,52644,285,0.09020607,141.93049,4.8056081,22.25648,74.63992,49.58933,35.18809,4.239958,236.1186,54.43987,-25.60388
1000,52643,127,0.09288992,160.11674,5.7409259,5.745036,3.420037,0.750836,5.127234,1.682399,13.13321,5.415674,-0.7743171
1006,52708,169,0.05137984,150.85143,49.117101,19.22783,89.65845,45.56735,30.60307,6.1764,240.8165,69.99191,-20.84582
1013,52707,591,0.02741302,172.29717,54.221913,30.35744,15.07785,14.93616,14.6848,4.596599,71.47229,21.74717,-16.47975
1021,52460,226,0.08686774,309.62445,-0.49958169,8.926829,36.4071,15.50422,11.21777,4.62993,63.84805,12.93267,-9.484709
1026,52558,533,0.251988,319.0069,0.92853028,13.89777,40.09475,11.96702,13.3905,1.111616,94.74149,19.49815,-28.84301
1032,53175,211,0.2167263,329.69836,-0.95925575,12.91942,68.28645,25.42227,17.83367,4.918089,137.7177,25.57213,-28.58671
